  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2410                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2083   0.00556   0.00122  -0.0527   0.8357   0.0447
  -3.000  -0.0956   0.00523   0.00089  -0.0527   0.7760   0.0817
  -2.000   0.0172   0.00496   0.00066  -0.0528   0.7077   0.1511
  -1.000   0.1299   0.00476   0.00055  -0.0530   0.6331   0.2569
   0.000   0.2422   0.00456   0.00053  -0.0532   0.5578   0.4120
   1.000   0.3537   0.00424   0.00061  -0.0533   0.4893   0.6501
   2.000   0.4639   0.00408   0.00079  -0.0530   0.4248   0.8615
   3.000   0.5688   0.00435   0.00106  -0.0511   0.3444   0.9854
   4.000   0.6973   0.00529   0.00150  -0.0553   0.2194   1.0000
   5.000   0.7965   0.00644   0.00213  -0.0530   0.1044   1.0000
   6.000   0.9012   0.00742   0.00281  -0.0518   0.0482   1.0000
   7.000   1.0072   0.00831   0.00354  -0.0510   0.0266   1.0000
   8.000   1.1123   0.00923   0.00439  -0.0501   0.0174   1.0000
