  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.100 (top)        0.100 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2937   0.11017   0.10256  -0.0488   0.1000   0.0795
  -9.000  -0.2877   0.09589   0.08835  -0.0571   0.1000   0.0878
  -8.000  -0.2787   0.07759   0.06998  -0.0729   0.1000   0.0939
  -7.000  -0.2696   0.05929   0.05160  -0.0886   0.1000   0.1000
  -6.000  -0.2285   0.02888   0.01838  -0.0974   0.1000   0.0726
  -5.000  -0.1292   0.02329   0.01175  -0.0963   0.1000   0.0873
  -4.000  -0.0237   0.01921   0.00714  -0.0946   0.1000   0.1000
  -3.000   0.0821   0.01750   0.00502  -0.0932   0.1000   0.1000
  -2.000   0.1900   0.01723   0.00434  -0.0924   0.1000   0.1000
  -1.000   0.2976   0.01724   0.00404  -0.0915   0.1000   0.1000
   0.000   0.4044   0.01741   0.00402  -0.0906   0.1000   0.1000
   1.000   0.5103   0.01772   0.00423  -0.0895   0.1000   0.1000
   2.000   0.6147   0.01815   0.00465  -0.0883   0.1000   0.1000
   3.000   0.7174   0.01872   0.00528  -0.0868   0.1000   0.1000
   4.000   0.8178   0.01941   0.00614  -0.0850   0.1000   0.1000
   5.000   0.9150   0.02026   0.00721  -0.0828   0.1000   0.1000
   6.000   1.0081   0.02128   0.00855  -0.0800   0.1000   0.1000
   7.000   1.0961   0.02251   0.01017  -0.0765   0.1000   0.1000
   8.000   1.1738   0.02400   0.01214  -0.0714   0.1000   0.1000
   9.000   1.2461   0.02599   0.01468  -0.0662   0.1000   0.1000
  10.000   1.3094   0.02867   0.01802  -0.0604   0.1000   0.1000
  11.000   1.3529   0.03298   0.02311  -0.0534   0.1000   0.1000
  12.000   1.3482   0.04212   0.03253  -0.0441   0.0881   0.1000
  13.000   1.3642   0.05056   0.04123  -0.0384   0.0697   0.1000
  14.000   1.3945   0.05835   0.04920  -0.0337   0.0579   0.1000
  15.000   1.4235   0.06711   0.05847  -0.0298   0.0500   0.1000
