  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.050 (top)        0.050 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6544   0.01556   0.00712  -0.0959   0.0500   0.0500
  -9.000  -0.5597   0.01506   0.00650  -0.0929   0.0500   0.0500
  -8.000  -0.4621   0.01465   0.00599  -0.0903   0.0500   0.0500
  -7.000  -0.3629   0.01433   0.00557  -0.0879   0.0500   0.0500
  -6.000  -0.2629   0.01408   0.00524  -0.0855   0.0500   0.0500
  -5.000  -0.1628   0.01391   0.00499  -0.0831   0.0500   0.0500
  -4.000  -0.0637   0.01381   0.00483  -0.0805   0.0500   0.0500
  -3.000   0.0335   0.01378   0.00474  -0.0776   0.0500   0.0500
  -2.000   0.1215   0.01378   0.00471  -0.0728   0.0500   0.0500
  -1.000   0.2093   0.01391   0.00481  -0.0681   0.0500   0.0500
   0.000   0.3034   0.01425   0.00512  -0.0649   0.0500   0.0500
   1.000   0.3985   0.01475   0.00561  -0.0622   0.0500   0.0500
   2.000   0.4918   0.01538   0.00625  -0.0595   0.0500   0.0500
   3.000   0.5828   0.01619   0.00706  -0.0566   0.0500   0.0500
   4.000   0.6712   0.01720   0.00810  -0.0538   0.0500   0.0500
   5.000   0.7566   0.01847   0.00941  -0.0508   0.0500   0.0500
   6.000   0.8381   0.02007   0.01106  -0.0478   0.0500   0.0500
   7.000   0.9155   0.02205   0.01311  -0.0448   0.0500   0.0500
   8.000   0.9890   0.02446   0.01560  -0.0419   0.0500   0.0500
   9.000   1.0567   0.02750   0.01874  -0.0391   0.0500   0.0500
  10.000   1.1201   0.03112   0.02247  -0.0365   0.0500   0.0500
  11.000   1.1763   0.03560   0.02709  -0.0341   0.0500   0.0500
  12.000   1.2259   0.04093   0.03257  -0.0319   0.0500   0.0500
  13.000   1.2687   0.04712   0.03893  -0.0301   0.0500   0.0500
  14.000   1.3047   0.05424   0.04623  -0.0287   0.0500   0.0500
  15.000   1.3321   0.06242   0.05461  -0.0276   0.0500   0.0500
