  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2312                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.150 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4904   0.10180   0.09747  -0.0244   1.0000   0.0957
  -9.000  -0.5411   0.07970   0.07533  -0.0334   1.0000   0.0911
  -8.000  -0.5917   0.05759   0.05318  -0.0423   1.0000   0.0865
  -7.000  -0.6360   0.03103   0.02405  -0.0301   1.0000   0.0655
  -6.000  -0.5689   0.02454   0.01654  -0.0237   1.0000   0.0745
  -5.000  -0.4853   0.02095   0.01250  -0.0195   1.0000   0.0903
  -4.000  -0.3636   0.01829   0.00981  -0.0231   0.9916   0.1240
  -3.000  -0.1907   0.01579   0.00787  -0.0364   0.9615   0.2315
  -2.000  -0.0477   0.01263   0.00719  -0.0415   0.9302   0.7650
  -1.000   0.1214   0.01235   0.00693  -0.0475   0.8963   0.9481
   0.000   0.3261   0.01160   0.00576  -0.0644   0.8372   1.0000
   1.000   0.4150   0.01129   0.00492  -0.0593   0.7464   1.0000
   2.000   0.5059   0.01173   0.00479  -0.0547   0.6536   1.0000
   3.000   0.5989   0.01262   0.00516  -0.0507   0.5786   1.0000
   4.000   0.6933   0.01369   0.00599  -0.0472   0.5199   1.0000
   5.000   0.7891   0.01487   0.00703  -0.0440   0.4699   1.0000
   6.000   0.8842   0.01604   0.00815  -0.0407   0.4187   1.0000
   7.000   0.9756   0.01717   0.00936  -0.0370   0.3614   1.0000
   8.000   1.0594   0.01830   0.01061  -0.0322   0.2891   1.0000
   9.000   1.1235   0.02099   0.01298  -0.0252   0.1745   1.0000
  10.000   1.1648   0.02595   0.01756  -0.0160   0.1058   1.0000
  11.000   1.2007   0.03127   0.02289  -0.0070   0.0799   1.0000
  12.000   1.2489   0.03769   0.02941  -0.0011   0.0650   1.0000
  13.000   1.2930   0.04507   0.03720   0.0039   0.0557   1.0000
  14.000   1.3066   0.05387   0.04663   0.0088   0.0498   1.0000
  15.000   1.2777   0.06854   0.06223   0.0105   0.0474   1.0000
