  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2324                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7839   0.01231   0.00693  -0.0624   0.8729   0.1160
  -9.000  -0.6976   0.01133   0.00584  -0.0582   0.8285   0.1293
  -8.000  -0.6124   0.01061   0.00505  -0.0532   0.7858   0.1455
  -7.000  -0.5161   0.01002   0.00440  -0.0503   0.7427   0.1650
  -6.000  -0.4162   0.00956   0.00387  -0.0478   0.6990   0.1877
  -5.000  -0.3157   0.00913   0.00343  -0.0455   0.6540   0.2181
  -4.000  -0.2138   0.00879   0.00308  -0.0434   0.6094   0.2551
  -3.000  -0.1132   0.00839   0.00276  -0.0410   0.5668   0.3118
  -2.000  -0.0141   0.00795   0.00256  -0.0383   0.5260   0.4067
  -1.000   0.0900   0.00785   0.00252  -0.0366   0.4863   0.4712
   0.000   0.1951   0.00790   0.00259  -0.0349   0.4496   0.5229
   1.000   0.2991   0.00807   0.00274  -0.0332   0.4167   0.5711
   2.000   0.4037   0.00823   0.00295  -0.0315   0.3931   0.6211
   3.000   0.5065   0.00844   0.00323  -0.0296   0.3738   0.6742
   4.000   0.6030   0.00868   0.00358  -0.0265   0.3575   0.7332
   5.000   0.7024   0.00890   0.00401  -0.0240   0.3456   0.8008
   6.000   0.8014   0.00936   0.00462  -0.0217   0.3320   0.8585
   7.000   0.8943   0.01001   0.00538  -0.0183   0.3175   0.9131
   8.000   0.9774   0.01088   0.00630  -0.0132   0.3021   0.9614
   9.000   1.0850   0.01192   0.00732  -0.0136   0.2870   0.9906
  10.000   1.2231   0.01325   0.00858  -0.0212   0.2689   0.9962
  11.000   1.3035   0.01459   0.00989  -0.0180   0.2525   1.0000
  12.000   1.3532   0.01628   0.01156  -0.0096   0.2366   1.0000
  13.000   1.4175   0.01872   0.01398  -0.0053   0.2197   1.0000
  14.000   1.4743   0.02203   0.01726  -0.0013   0.2023   1.0000
  15.000   1.5209   0.02644   0.02168   0.0024   0.1854   1.0000
