  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4424                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.6181   0.01234   0.00609  -0.1030   0.6960   0.0757
  -9.000  -0.5192   0.01171   0.00535  -0.1008   0.6610   0.0828
  -8.000  -0.4184   0.01118   0.00473  -0.0988   0.6259   0.0915
  -7.000  -0.3161   0.01076   0.00422  -0.0970   0.5914   0.1020
  -6.000  -0.2116   0.01041   0.00380  -0.0955   0.5602   0.1139
  -5.000  -0.1076   0.01014   0.00347  -0.0939   0.5295   0.1288
  -4.000  -0.0023   0.00993   0.00323  -0.0924   0.5036   0.1458
  -3.000   0.1030   0.00975   0.00306  -0.0910   0.4820   0.1668
  -2.000   0.2078   0.00962   0.00296  -0.0894   0.4632   0.1910
  -1.000   0.3115   0.00956   0.00293  -0.0877   0.4467   0.2187
   0.000   0.4125   0.00951   0.00296  -0.0854   0.4335   0.2502
   1.000   0.5079   0.00951   0.00306  -0.0820   0.4207   0.2878
   2.000   0.6077   0.00969   0.00333  -0.0798   0.4063   0.3330
   3.000   0.7102   0.00991   0.00372  -0.0784   0.3917   0.3982
   4.000   0.8108   0.01012   0.00424  -0.0769   0.3766   0.5136
   5.000   0.9094   0.01058   0.00491  -0.0751   0.3601   0.6063
   6.000   1.0050   0.01122   0.00575  -0.0731   0.3429   0.6959
   7.000   1.0958   0.01203   0.00683  -0.0704   0.3249   0.8117
   8.000   1.1731   0.01308   0.00823  -0.0651   0.3068   0.9732
   9.000   1.2610   0.01468   0.00976  -0.0633   0.2881   1.0000
  10.000   1.3365   0.01669   0.01171  -0.0597   0.2695   1.0000
  11.000   1.4049   0.01926   0.01423  -0.0558   0.2499   1.0000
  12.000   1.4623   0.02272   0.01764  -0.0515   0.2298   1.0000
  13.000   1.5158   0.02676   0.02168  -0.0476   0.2113   1.0000
  14.000   1.5537   0.03225   0.02715  -0.0433   0.1922   1.0000
  15.000   1.5821   0.03891   0.03385  -0.0395   0.1750   1.0000
